Positions Over Time - HSBC Small Cap Fund - Direct (G)
Type,Name,Sector,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,31-Jul-25,30-Jun-25
Equity,MTAR Technologie,Aerospace & Defence,3.08,1.95,1.94,1.52,1.18,1.22,1.05,0.44,-,-,-
Equity,PNB Housing,Finance,2.18,1.86,1.83,1.87,1.93,1.43,1.44,1.38,1.22,1.53,1.68
Equity,GE Vernova T&D,Capital Goods - Electrical Equipment,2.12,1.69,1.38,1.18,1.33,1.34,1.69,2.05,1.95,1.83,1.55
Equity,Karur Vysya Bank,Banks,2.08,3.04,3.09,2.92,2.41,2.23,2.14,1.88,1.93,1.9,1.88
Equity,Apar Inds.,Capital Goods - Electrical Equipment,2.04,1.93,1.97,0.86,0.85,0.92,1.16,1.27,1.38,1.54,1.48
Equity,BSE,Financial Services,1.96,0.31,0.29,0.3,-,-,-,-,-,0.4,0.61
Equity,Federal Bank,Banks,1.88,2.0,2.09,2.05,1.79,1.71,1.3,0.87,1.39,1.41,1.71
Equity,Sai Life,Pharmaceuticals,1.75,1.88,1.74,1.28,1.31,1.26,1.28,1.24,0.95,0.48,0.45
Equity,Radico Khaitan,Alcoholic Beverages,1.64,1.49,1.1,1.2,1.41,1.36,1.73,1.64,1.64,1.51,1.41
Equity,Time Technoplast,Plastic products,1.6,1.55,1.63,1.63,1.6,1.69,1.77,1.78,1.96,1.93,1.79
Equity,Engineers India,Infrastructure Developers & Operators,1.58,1.35,1.49,1.18,1.37,1.42,1.43,1.41,1.46,1.52,1.67
Equity,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment,1.56,1.27,1.4,1.4,1.23,1.24,1.33,1.57,1.6,1.66,1.75
Equity,Aster DM Health.,Healthcare,1.53,1.72,1.52,1.31,1.38,1.47,1.46,1.15,1.11,1.0,0.76
Equity,Ratnamani Metals,Capital Goods-Non Electrical Equipment,1.48,1.44,1.45,1.1,1.11,1.09,1.09,1.27,1.27,1.35,1.46
Equity,Neuland Labs.,Pharmaceuticals,1.48,1.4,1.35,1.43,1.54,1.73,1.66,1.52,1.41,1.66,1.57
Equity,CCL Products,Plantation & Plantation Products,1.48,1.6,1.41,1.38,1.22,1.29,1.08,1.09,1.13,1.06,1.03
Equity,Supreme Petroch.,Petrochemicals,1.48,1.7,1.49,1.15,1.23,1.21,1.53,1.85,1.72,1.7,1.82
Equity,Polycab India,Cables,1.46,1.45,1.81,1.27,1.3,1.26,1.27,1.24,1.22,1.12,1.06
Equity,Natl. Aluminium,Non Ferrous Metals,1.45,1.65,1.1,1.22,0.68,-,-,-,-,-,-
Equity,Multi Comm. Exc.,Financial Services,1.45,1.38,1.51,3.16,3.66,3.26,2.93,2.33,2.23,2.23,2.53
Equity,Kajaria Ceramics,Ceramic Products,1.44,1.22,1.15,1.11,1.12,1.22,1.35,1.34,1.4,1.07,0.96
Equity,City Union Bank,Banks,1.41,1.48,1.58,1.72,1.56,1.14,0.28,-,-,-,-
Equity,Techno Elec.Engg,Infrastructure Developers & Operators,1.41,1.27,1.37,1.16,1.22,1.37,1.57,1.66,2.2,2.07,2.28
Equity,Nippon Life Ind.,Finance,1.4,1.31,1.48,1.43,1.57,2.11,2.22,2.41,2.2,2.18,2.1
Equity,KEI Industries,Cables,1.39,1.47,1.79,1.25,1.31,1.2,1.31,1.36,1.29,1.25,1.21
Equity,Motil.Oswal.Fin.,Stock/ Commodity Brokers,1.38,1.29,1.33,1.41,1.51,1.67,1.67,1.68,1.63,1.66,1.13
Equity,K P R Mill Ltd,Readymade Garments/ Apparells,1.36,1.42,1.39,1.37,1.4,1.71,1.66,1.71,1.6,1.98,1.94
Equity,Delhivery,Logistics,1.34,1.43,1.34,1.58,1.42,1.47,1.58,1.29,1.36,1.14,0.77
Equity,Craftsman Auto,Auto Ancillaries,1.27,1.37,1.27,1.26,0.58,-,-,-,-,-,-
Equity,Welspun Living,Textiles,1.27,1.26,1.31,1.33,1.32,1.48,0.79,0.62,0.6,0.71,0.79
Equity,Finolex Cables,Cables,1.22,1.13,1.13,0.91,0.89,0.88,0.9,0.97,0.98,1.02,1.1
Equity,eClerx Services,IT - Software,1.22,1.53,1.58,2.36,2.25,2.05,2.09,1.67,1.78,1.24,1.12
Equity,Bikaji Foods,FMCG,1.22,1.32,1.22,1.29,1.38,1.3,1.3,1.37,1.26,0.59,0.57
Equity,Sumitomo Chemi.,Agro Chemicals,1.19,1.23,1.22,1.27,1.38,1.34,1.42,1.55,1.67,1.83,1.46
Equity,Chola Financial,Finance,1.18,1.08,1.11,1.15,1.19,1.2,1.21,1.13,1.04,1.1,1.23
Equity,RBL Bank,Banks,1.14,1.03,1.03,0.98,0.98,0.95,0.15,-,-,-,-
Equity,Ather Energy,Automobile,1.13,0.67,0.49,0.44,0.5,0.47,-,-,-,-,-
Equity,Wockhardt,Pharmaceuticals,1.13,1.12,1.17,1.22,1.2,1.01,1.03,1.25,1.19,1.34,1.34
Equity,PTC Industries,"Castings, Forgings & Fastners",1.11,1.22,0.93999,0.97,0.93999,0.9,0.84,0.78,0.71,0.73,0.74
Equity,KFin Technolog.,Financial Services,1.1,1.27,1.25,1.35,1.36,1.31,1.33,1.31,1.47,1.59,1.94
Equity,Cera Sanitary.,Ceramic Products,1.09,1.11,1.08,1.13,1.11,1.16,1.27,1.3,1.35,1.34,1.38
Equity,H U D C O,Finance,1.08,0.92,0.98,1.03,1.15,1.19,1.15,1.12,1.04,1.03,1.13
Equity,Vijaya Diagnost.,Healthcare,1.04,0.92,0.97,0.95,0.98,0.91,0.89,0.92,0.93999,0.96,0.86
